epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5711.73,1.13617,1.40563,1.41957,0.68399,0.53844,0.57968,0.35003,1.23263,1.36873,1.65813,0.00032155,0.00032155,0.00032155
43,5847.67,1.13575,1.4345,1.41866,0.65522,0.60869,0.58741,0.38273,1.15483,1.34185,1.61253,0.000314051,0.000314051,0.000314051
44,5985.13,1.13174,1.37959,1.40426,0.58706,0.59449,0.58674,0.38748,1.14679,1.38184,1.59971,0.00030649,0.00030649,0.00030649
45,6122.58,1.10422,1.35617,1.42146,0.56377,0.60024,0.5866,0.38903,1.13724,1.38259,1.60092,0.000298877,0.000298877,0.000298877
46,6259.89,1.12137,1.37656,1.40864,0.59144,0.6096,0.56922,0.36488,1.16382,1.39963,1.6097,0.000291218,0.000291218,0.000291218
47,6395.8,1.12747,1.38275,1.40129,0.58642,0.6164,0.62206,0.41247,1.17073,1.38701,1.57783,0.00028352,0.00028352,0.00028352
48,6532.12,1.10219,1.37025,1.38837,0.63359,0.57208,0.58423,0.38365,1.14364,1.37874,1.57297,0.000275792,0.000275792,0.000275792
49,6668.69,1.09103,1.34498,1.38707,0.62571,0.54476,0.56788,0.36883,1.17205,1.37803,1.60366,0.000268041,0.000268041,0.000268041
50,6799.86,1.10356,1.3527,1.40489,0.57472,0.647,0.60592,0.39465,1.18305,1.37516,1.59867,0.000260274,0.000260274,0.000260274
51,6935.38,1.10318,1.36375,1.41015,0.65046,0.60006,0.63546,0.42513,1.13519,1.26209,1.5781,0.0002525,0.0002525,0.0002525
52,7071.78,1.10353,1.34709,1.38908,0.53224,0.66579,0.63237,0.41283,1.18048,1.31301,1.60617,0.000244726,0.000244726,0.000244726
53,7207.47,1.08271,1.29759,1.3907,0.58028,0.67248,0.62397,0.39411,1.19663,1.39355,1.62253,0.000236959,0.000236959,0.000236959
54,7339.74,1.08249,1.32755,1.38331,0.62831,0.62749,0.64005,0.40759,1.12533,1.30478,1.58631,0.000229208,0.000229208,0.000229208
55,7475.78,1.07715,1.32972,1.38528,0.60561,0.5898,0.62003,0.40564,1.12461,1.3139,1.57319,0.00022148,0.00022148,0.00022148
56,7610.72,1.07843,1.32585,1.40051,0.61051,0.59334,0.60934,0.39596,1.13018,1.34244,1.58918,0.000213782,0.000213782,0.000213782
57,7746.14,1.07201,1.29697,1.38492,0.57898,0.67373,0.62623,0.40704,1.1429,1.29167,1.59544,0.000206123,0.000206123,0.000206123
58,7881.36,1.05526,1.269,1.3792,0.52802,0.60479,0.61125,0.40675,1.11213,1.32129,1.57927,0.00019851,0.00019851,0.00019851
59,8016.58,1.04677,1.28217,1.35808,0.57495,0.65058,0.61487,0.40669,1.11291,1.3167,1.57357,0.000190949,0.000190949,0.000190949
60,8150.11,1.06963,1.27102,1.35228,0.60879,0.6365,0.62968,0.41291,1.14606,1.31915,1.57653,0.00018345,0.00018345,0.00018345
61,8283.27,1.04933,1.25458,1.37999,0.58365,0.66783,0.64657,0.41974,1.15108,1.30072,1.57355,0.000176018,0.000176018,0.000176018
62,8418.37,1.03373,1.26417,1.38179,0.59375,0.63125,0.59894,0.39615,1.11936,1.30024,1.59154,0.000168662,0.000168662,0.000168662
63,8553.51,1.05062,1.25432,1.37782,0.70154,0.54356,0.63376,0.41242,1.14556,1.3256,1.62498,0.000161389,0.000161389,0.000161389
64,8688.83,1.06415,1.25393,1.38777,0.51718,0.65997,0.62738,0.42139,1.09572,1.27168,1.58283,0.000154206,0.000154206,0.000154206
65,8824.02,1.02321,1.21527,1.34321,0.5898,0.62116,0.65434,0.4291,1.15896,1.26682,1.617,0.00014712,0.00014712,0.00014712
66,8960.45,1.03614,1.21575,1.35415,0.64173,0.61314,0.6321,0.41732,1.10853,1.2753,1.59363,0.000140137,0.000140137,0.000140137
67,9096.6,1.02295,1.20304,1.33974,0.59974,0.68323,0.6458,0.4288,1.13926,1.30245,1.57216,0.000133266,0.000133266,0.000133266
68,9228.37,0.99367,1.17674,1.32663,0.63965,0.64379,0.64807,0.4259,1.10803,1.26095,1.57502,0.000126512,0.000126512,0.000126512
69,9364.91,1.003,1.17222,1.32237,0.63538,0.62779,0.64189,0.42577,1.16001,1.29799,1.61042,0.000119883,0.000119883,0.000119883
70,9498.8,0.9798,1.14519,1.32065,0.63736,0.65624,0.65716,0.43823,1.10916,1.28976,1.56173,0.000113384,0.000113384,0.000113384
71,9639.98,0.98933,1.15205,1.31444,0.65218,0.60176,0.6571,0.4421,1.13591,1.22466,1.58302,0.000107023,0.000107023,0.000107023
72,9780.78,0.98291,1.15309,1.3102,0.68528,0.60436,0.66604,0.4432,1.12054,1.25767,1.57894,0.000100806,0.000100806,0.000100806
73,9917.13,0.98466,1.16695,1.33188,0.61748,0.69747,0.66341,0.4434,1.13165,1.22133,1.57538,9.47376e-05,9.47376e-05,9.47376e-05
74,10054.9,0.98414,1.13407,1.30131,0.56614,0.7151,0.66002,0.44015,1.09905,1.22661,1.5672,8.88253e-05,8.88253e-05,8.88253e-05
75,10190.6,0.98185,1.14528,1.31385,0.61176,0.68591,0.65749,0.44003,1.10013,1.25622,1.57227,8.30746e-05,8.30746e-05,8.30746e-05
76,10326.2,0.96664,1.13384,1.3102,0.60544,0.6725,0.66408,0.45123,1.1015,1.22455,1.57172,7.74911e-05,7.74911e-05,7.74911e-05
77,10462,0.96805,1.14206,1.28966,0.55079,0.71823,0.66371,0.44255,1.07589,1.23362,1.54802,7.20803e-05,7.20803e-05,7.20803e-05
78,10598.3,0.96,1.13489,1.30425,0.57512,0.70969,0.65888,0.44664,1.09412,1.21013,1.55247,6.68475e-05,6.68475e-05,6.68475e-05
79,10730.5,0.95611,1.10317,1.31007,0.62306,0.69372,0.66186,0.44978,1.09455,1.24617,1.55826,6.1798e-05,6.1798e-05,6.1798e-05
80,10866.8,0.96883,1.12249,1.31115,0.62603,0.61937,0.64788,0.43813,1.10935,1.26239,1.56175,5.69366e-05,5.69366e-05,5.69366e-05
81,11001.9,0.9536,1.1194,1.28561,0.59171,0.69002,0.65127,0.43985,1.10491,1.24645,1.55844,5.22683e-05,5.22683e-05,5.22683e-05
82,11137.6,0.96775,1.10117,1.29479,0.57503,0.72145,0.66468,0.45003,1.07556,1.23025,1.55665,4.77976e-05,4.77976e-05,4.77976e-05
83,11269.9,0.94367,1.08282,1.27033,0.61198,0.6917,0.6643,0.44218,1.08782,1.20924,1.56565,4.35288e-05,4.35288e-05,4.35288e-05
84,11405.6,0.9381,1.08873,1.29821,0.5806,0.74982,0.6664,0.45235,1.09529,1.22131,1.55461,3.94663e-05,3.94663e-05,3.94663e-05
85,11546.7,0.92601,1.09072,1.28478,0.57888,0.71494,0.67511,0.45726,1.08832,1.21708,1.55599,3.56141e-05,3.56141e-05,3.56141e-05
86,11684.2,0.94517,1.09218,1.27724,0.58732,0.71806,0.66545,0.45334,1.08721,1.21227,1.56462,3.19759e-05,3.19759e-05,3.19759e-05
87,11821.4,0.94075,1.09563,1.29586,0.56544,0.71512,0.663,0.45908,1.09803,1.21983,1.56477,2.85553e-05,2.85553e-05,2.85553e-05
88,11959.7,0.92748,1.07865,1.26739,0.55612,0.70378,0.66466,0.45859,1.08606,1.21369,1.56138,2.53557e-05,2.53557e-05,2.53557e-05
89,12095.9,0.92286,1.07544,1.275,0.55325,0.71048,0.66391,0.45297,1.09969,1.22225,1.56848,2.23803e-05,2.23803e-05,2.23803e-05
90,12231.1,0.93292,1.074,1.27889,0.5679,0.66533,0.6615,0.44914,1.10119,1.22726,1.56555,1.9632e-05,1.9632e-05,1.9632e-05
91,12368.5,0.86105,0.96996,1.27378,0.57361,0.6807,0.65615,0.44458,1.10562,1.25291,1.57904,1.71135e-05,1.71135e-05,1.71135e-05
92,12501.4,0.84831,0.95013,1.27538,0.57666,0.66288,0.66173,0.44526,1.09275,1.24991,1.56963,1.48273e-05,1.48273e-05,1.48273e-05
93,12636.6,0.83227,0.93529,1.25738,0.59287,0.67073,0.66523,0.44655,1.09693,1.23253,1.57265,1.27757e-05,1.27757e-05,1.27757e-05
94,12771.5,0.8468,0.95011,1.2752,0.63128,0.61356,0.66141,0.44672,1.10596,1.23832,1.57653,1.09606e-05,1.09606e-05,1.09606e-05
95,12906.7,0.84098,0.94233,1.2757,0.59306,0.67232,0.66336,0.44882,1.10078,1.24235,1.5757,9.38391e-06,9.38391e-06,9.38391e-06
96,13039.9,0.81478,0.9163,1.26626,0.58161,0.69654,0.65909,0.44496,1.0933,1.24315,1.57113,8.04714e-06,8.04714e-06,8.04714e-06
97,13175.2,0.84617,0.94081,1.26573,0.58142,0.70036,0.65898,0.44689,1.0888,1.24981,1.56942,6.95161e-06,6.95161e-06,6.95161e-06
98,13310.4,0.83706,0.93866,1.27587,0.58076,0.67797,0.65869,0.44408,1.09624,1.24664,1.57036,6.09841e-06,6.09841e-06,6.09841e-06
99,13445.8,0.84368,0.92634,1.27931,0.57549,0.68331,0.66114,0.44742,1.09524,1.24506,1.57119,5.48838e-06,5.48838e-06,5.48838e-06
100,13580.7,0.82524,0.92533,1.26844,0.58435,0.70827,0.65877,0.44484,1.09478,1.24122,1.57021,5.12213e-06,5.12213e-06,5.12213e-06
